"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
"ENSG00000126261",0.758881397992521,3.30239356393195,5.87760614205726,6.0126126132577e-06,4.30594613177849e-05,3.60363743753954,"ENSG00000126261"
"ENSG00000138668",0.635298865966959,4.57529011108373,5.87596012857396,6.03614024771435e-06,4.32057298347965e-05,3.59971139976414,"ENSG00000138668"
"ENSG00000101457",0.923090567817895,4.76674786256839,5.87532571946254,6.04523332528613e-06,4.32485808605516e-05,3.59819815302751,"ENSG00000101457"
"ENSG00000211650",-2.87306587881985,1.57895853236263,-5.87155060148942,6.09963195159522e-06,4.36153446482325e-05,3.58919264867407,"ENSG00000211650"
"ENSG00000087085",-1.22183080922991,2.39044895231142,-5.87019899643019,6.11922928503873e-06,4.37330134015961e-05,3.58596808840446,"ENSG00000087085"
"ENSG00000012504",-1.81129906584135,-1.13246164938808,-5.86804194362812,6.15063799859545e-06,4.39349318709317e-05,3.58082160027081,"ENSG00000012504"
"ENSG00000132661",1.23700041274904,3.96127735758221,5.86643458705266,6.1741493539554e-06,4.40732448171867e-05,3.57698634689921,"ENSG00000132661"
"ENSG00000111640",1.184950663306,8.36060482796344,5.86628565456277,6.17633246935292e-06,4.40732448171867e-05,3.57663097259266,"ENSG00000111640"
"ENSG00000176915",0.532093157136625,1.4406790543833,5.86573790897772,6.18436832144584e-06,4.41079793909677e-05,3.57532395537837,"ENSG00000176915"
"ENSG00000132002",0.810881883033306,5.13947312293998,5.86470787162655,6.19950862223405e-06,4.41933226004826e-05,3.57286603034826,"ENSG00000132002"
"ENSG00000139405",0.757552821338508,2.93953101246877,5.86226137494358,6.23562066804473e-06,4.4420352623012e-05,3.56702768965202,"ENSG00000139405"
"ENSG00000183779",1.24505731547915,5.99120965527197,5.86211837486244,6.23773806766186e-06,4.4420352623012e-05,3.56668641598401,"ENSG00000183779"
"ENSG00000271824",-2.624194755073,2.31975066384559,-5.86164023993829,6.24482312220953e-06,4.44480713228022e-05,3.56554532003491,"ENSG00000271824"
"ENSG00000196591",0.825583599777201,2.19462210746345,5.85814950595941,6.29679817488875e-06,4.47951068936133e-05,3.55721384967494,"ENSG00000196591"
"ENSG00000125895",1.54132093346033,1.01773680481839,5.85741437760405,6.30779986468571e-06,4.48504544004875e-05,3.55545914757597,"ENSG00000125895"
"ENSG00000163071",-0.932197559668364,-0.0343432831113167,-5.85524756064651,6.34034177157342e-06,4.50587810068193e-05,3.55028681225535,"ENSG00000163071"
"ENSG00000259674",-1.93087511698896,2.12798176125246,-5.85503308614722,6.34357209979642e-06,4.50587810068193e-05,3.54977482402651,"ENSG00000259674"
"ENSG00000172081",-0.815094976868924,3.33699590372354,-5.84988360120681,6.42163687470208e-06,4.55900196683337e-05,3.5374808357908,"ENSG00000172081"
"ENSG00000228452",-0.779271652124721,0.100065959801404,-5.84709427413374,6.46433012323093e-06,4.58697267969526e-05,3.53082052530567,"ENSG00000228452"
"ENSG00000198125",-1.93271512348497,1.84684543618958,-5.84255871348063,6.5343692268982e-06,4.63430913789489e-05,3.51998907051997,"ENSG00000198125"
"ENSG00000149090",-1.17936409083782,1.09658578834119,-5.84137925799238,6.55270892099567e-06,4.64494977587076e-05,3.51717208438742,"ENSG00000149090"
"ENSG00000169598",0.661852645913663,0.69363699912797,5.83958801862475,6.58066172917785e-06,4.66239046277934e-05,3.51289368472422,"ENSG00000169598"
"ENSG00000205758",-0.590366992006514,1.31240927191089,-5.83883178932,6.59249933271838e-06,4.66683099628827e-05,3.5110873331384,"ENSG00000205758"
"ENSG00000004776",-2.28332958756577,0.645138493330188,-5.83875940667559,6.59363350790047e-06,4.66683099628827e-05,3.51091443509733,"ENSG00000004776"
"ENSG00000227051",-1.32792884718496,-0.124575651855454,-5.83668667250711,6.62619596237789e-06,4.68749492826346e-05,3.50596316127063,"ENSG00000227051"
"ENSG00000143507",1.42251184584185,0.680490687267577,5.83276678274765,6.68822545574246e-06,4.72897281842796e-05,3.49659840214084,"ENSG00000143507"
"ENSG00000274370",-2.00444574456345,0.491053193558159,-5.82933293561628,6.74304942290967e-06,4.76531645003799e-05,3.48839367305023,"ENSG00000274370"
